symbol,side,entry_price,exit_price,quantity,stop,target,risk_usdt,gross_pnl,fee_usdt,pnl,result,close_reason,opened_at,closed_at,balance_after
BTCUSDT,LONG,78949.2,78397.40741635277,0.09045188818296786,78397.40741635277,80052.78516729445,49.91068107625002,-49.91068108,14.23229774,-64.14297882,LOSS,STOP_LOSS,2026-07-26T11:58:22.519342+00:00,2026-07-26T11:58:22.519716+00:00,9917.99323643
ETHUSDT,SHORT,2322.11,2272.725557185827,2.0083234053586514,2346.8022214070866,2272.725557185827,49.58996618215002,99.17993236,9.22791579,89.95201657,WIN,TAKE_PROFIT,2026-07-26T11:58:22.521337+00:00,2026-07-26T11:58:22.522120+00:00,10007.945253
ETHUSDT,SHORT,2272.44,2299.5803699611224,1.8437378096422543,2299.5803699611224,2218.1592600777553,50.03972626500002,-50.03972627,8.42960682,-58.46933309,LOSS,STOP_LOSS,2026-07-26T11:58:22.523891+00:00,2026-07-26T11:58:22.524697+00:00,9949.47591991
SOLUSDT,SHORT,103.05,101.45459063943375,62.36315371986204,103.84770468028313,101.45459063943375,49.747379599550015,99.4947592,12.75355122,86.74120798,WIN,TAKE_PROFIT,2026-07-26T11:58:22.526363+00:00,2026-07-26T11:58:22.527006+00:00,10036.21712789
BTCUSDT,SHORT,77164.5,77701.4981390988,0.0934474106812824,77701.4981390988,76090.5037218024,50.18108563945001,-50.18108564,14.47182653,-64.65291217,LOSS,STOP_LOSS,2026-07-26T11:58:22.528687+00:00,2026-07-26T11:58:22.529022+00:00,9971.56421572
BTCUSDT,SHORT,77700.0,76423.60269890104,0.07812273033744804,78338.19865054947,76423.60269890104,49.85782107860001,99.71564216,12.04055665,87.6750855,WIN,TAKE_PROFIT,2026-07-26T11:58:22.530782+00:00,2026-07-26T11:58:22.531274+00:00,10059.23930122
ETHUSDT,SHORT,2221.12,2151.5045080153595,1.4449713726708184,2255.92774599232,2151.5045080153595,50.2961965061,100.59239301,6.31831724,94.27407577,WIN,TAKE_PROFIT,2026-07-26T11:58:22.533052+00:00,2026-07-26T11:58:22.533511+00:00,10153.51337699
BTCUSDT,SHORT,74071.0,74931.32987607007,0.05900941987142564,74931.32987607007,72350.34024785987,50.76756688495,-50.76756688,8.79254105,-59.56010793,LOSS,STOP_LOSS,2026-07-26T11:58:22.535296+00:00,2026-07-26T11:58:22.535691+00:00,10093.95326906
BTCUSDT,SHORT,74898.2,75957.86007237705,0.047628260855469305,75957.86007237705,72778.87985524588,50.4697663453,-50.46976635,7.18501178,-57.65477813,LOSS,STOP_LOSS,2026-07-26T11:58:22.537668+00:00,2026-07-26T11:58:22.538081+00:00,10036.29849093
BTCUSDT,SHORT,75803.5,76780.4899114017,0.051363368105463846,76780.4899114017,73849.5201771966,50.181492454650005,-50.18149245,7.83722764,-58.0187201,LOSS,STOP_LOSS,2026-07-26T11:58:22.539958+00:00,2026-07-26T11:58:22.540756+00:00,9978.27977083
SOLUSDT,SHORT,98.7,96.03715279646767,37.47222055247303,100.03142360176618,96.03715279646767,49.891398854150005,99.78279771,7.29723354,92.48556417,WIN,TAKE_PROFIT,2026-07-26T11:58:22.542903+00:00,2026-07-26T11:58:22.544974+00:00,10070.765335
